BLucian,BTaliyah,BLee Sin,BJanna,BHeimerdinger,RCaitlyn,RNunu,RDiana,RRengar,RKassadin
BTaliyah,BHeimerdinger,BZed,BZyra,BLucian,ROlaf,RSoraka,RGragas,REzreal,RAhri
BZed,BCaitlyn,BSoraka,BGragas,BEvelynn,RDraven,RAhri,RBlitzcrank,RGraves,RFiora
BJayce,BGragas,BOrianna,BTwitch,BJanna,RTwisted Fate,RKled,RVolibear,RKarma,RZiggs
BYasuo,BFizz,BSona,BCaitlyn,BElise,RXayah,RNidalee,RKled,RSyndra,RThresh
BXayah,BThresh,BIvern,BAhri,BSinged,RLissandra,RKha'Zix,ROrianna,RCaitlyn,RBlitzcrank
BElise,BAshe,BTalon,BBlitzcrank,BGangplank,RGraves,RZiggs,RFiora,RAhri,RKarma
BCaitlyn,BEkko,BRenekton,BElise,BBlitzcrank,RZiggs,RTrundle,RTalon,RHeimerdinger,RZac
BRumble,BCaitlyn,BJanna,BTalon,BNunu,RKennen,RZiggs,RSoraka,RGraves,RLulu
BLeBlanc,BSion,BLee Sin,BSoraka,BZiggs,RKog'Maw,RIvern,RSona,RMorgana,RAkali
BHeimerdinger,BAhri,BLee Sin,BMorgana,BEzreal,RLulu,RKindred,RCaitlyn,RYasuo,RAnnie
BZyra,BCho'Gath,BGraves,BFiora,BYasuo,RRammus,RKassadin,RTaliyah,RJayce,REzreal
BKennen,BGragas,BZilean,BCaitlyn,BTalon,RKassadin,RZyra,RWarwick,REzreal,RJayce
BKog'Maw,BFiora,BKha'Zix,BAnnie,BViktor,REzreal,RTaliyah,RWarwick,RNami,RIrelia
BHecarim,BTwitch,BAhri,BKarma,BYasuo,RVi,RBlitzcrank,REzreal,RGragas,REkko
BKha'Zix,BLeBlanc,BTwitch,BTahm Kench,BSona,RKarma,RLux,RJayce,RAshe,RFizz
BTwitch,BLee Sin,BLulu,BJayce,BJarvan IV,RLucian,RSona,RKarma,RSwain,RRek'Sai
BCassiopeia,BLee Sin,BGragas,BXayah,BBraum,RMorgana,RZac,RAnnie,RZiggs,RZed
BEzreal,BKennen,BBlitzcrank,BGraves,BVladimir,RCassiopeia,RAnnie,RVi,RBraum,RXayah
BLissandra,BSona,BShaco,BDarius,BVarus,RJayce,RKarma,REkko,RLee Sin,RLucian
BZed,BVeigar,BElise,BAshe,BGragas,ROlaf,RFiora,RAhri,RSona,REzreal
BGangplank,BKog'Maw,BZac,BLucian,BMorgana,RAshe,RThresh,RKha'Zix,RFizz,RShen
BKatarina,BElise,BKarma,BGangplank,BLucian,RSyndra,RVi,RJarvan IV,RBlitzcrank,RZiggs
BGragas,BJayce,BFizz,BBard,BCaitlyn,RXayah,RNidalee,RKarma,RDarius,RVladimir
BTalon,BKha'Zix,BLucian,BNami,BGalio,RThresh,RXin Zhao,RRek'Sai,RKassadin,RDraven
BBlitzcrank,BRiven,BLucian,BLee Sin,BFizz,RCaitlyn,RKha'Zix,RDarius,RThresh,RAhri
BLulu,BVel'Koz,BTwitch,BGalio,BZac,RKennen,RGragas,RTaliyah,RKarma,RXayah
BRumble,BAnnie,BXayah,BKarma,BJarvan IV,RGragas,RThresh,RTwitch,RZac,RAhri
BYasuo,BIvern,BTwisted Fate,BSona,BCaitlyn,RAkali,RThresh,RLee Sin,RFiora,RLucian
BSwain,BThresh,BNunu,BAshe,BOrianna,RKarma,RCaitlyn,RDarius,RAkali,RGraves
BCaitlyn,BHecarim,BAkali,BKatarina,BVel'Koz,RKarma,RKennen,RNocturne,RLucian,RSona
